ORDER_NUMBER,QUANTITY_ORDERED,PRICE EACH,SALES,ORDER_DATE,STATUS,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMER_NAME,PHONE,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,POSTALCODE
"10,107",30,95.7,2871,2/24/2003 0:00,Shipped,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,10022
"10,121",34,81.35,2765.9,5/7/2003 0:00,Shipped,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,51100
"10,134",41,94.74,3884.34,7/1/2003 0:00,Shipped,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium,75508
"10,145",45,83.26,3746.7,8/25/2003 0:00,Shipped,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium,90003
"10,159",49,100,5205.27,10/10/2003 0:00,Shipped,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,USA,Brown,Julie,Medium,
"10,168",36,96.66,3479.76,10/28/2003 0:00,Shipped,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium,94217
"10,180",29,86.13,2497.77,11/11/2003 0:00,Shipped,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,France,Rance,Martine,Small,59000
"10,188",48,100,5512.32,11/18/2003 0:00,Shipped,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium,N 5804
"10,201",22,98.57,2168.54,12/1/2003 0:00,Shipped,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,USA,Murphy,Julie,Small,
"10,211",41,100,4708.44,1/15/2004 0:00,Shipped,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,75016
"10,223",37,100,3965.66,2/20/2004 0:00,Shipped,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,3004
"10,237",23,100,2333.12,4/5/2004 0:00,Shipped,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,USA,Frick,Michael,Small,10022
"10,251",28,100,3188.64,5/18/2004 0:00,Shipped,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,USA,Brown,William,Medium,94019
"10,263",34,100,3676.76,6/28/2004 0:00,Shipped,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Medium,97562
"10,275",45,92.83,4177.35,7/23/2004 0:00,Shipped,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,44000
"10,285",36,100,4099.68,8/27/2004 0:00,Shipped,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium,51247
"10,299",23,100,2597.39,9/30/2004 0:00,Shipped,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Small,21240
"10,309",41,100,4394.38,10/15/2004 0:00,Shipped,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium,4110
"10,318",46,94.74,4358.04,11/2/2004 0:00,Shipped,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,USA,Yu,Kyung,Medium,70267
"10,329",42,100,4396.14,11/15/2004 0:00,Shipped,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,10022
"10,341",41,100,7737.93,11/24/2004 0:00,Shipped,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,Austria,Pipps,Georg,Large,5020
"10,361",20,72.55,1451,12/17/2004 0:00,Shipped,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,2067
"10,375",21,34.91,733.11,2/3/2005 0:00,Shipped,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,44000
"10,388",42,76.36,3207.12,3/3/2005 0:00,Shipped,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,USA,Benitez,Violeta,Medium,50553
"10,403",24,100,2434.56,4/8/2005 0:00,Shipped,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Small,WX1 6LT
"10,417",66,100,7516.08,5/13/2005 0:00,Disputed,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,28034
"10,103",26,100,5404.62,1/29/2003 0:00,Shipped,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium,4110
"10,112",29,100,7209.11,3/24/2003 0:00,Shipped,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Lule,Sweden,Berglund,Christina,Large,S-958 22
"10,126",38,100,7329.06,5/28/2003 0:00,Shipped,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Large,28023
"10,140",37,100,7374.1,7/24/2003 0:00,Shipped,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Large,94217
"10,150",45,100,10993.5,9/19/2003 0:00,Shipped,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Large,79903
"10,163",21,100,4860.24,10/20/2003 0:00,Shipped,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,USA,Hernandez,Maria,Medium,10022
"10,174",34,100,8014.82,11/6/2003 0:00,Shipped,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Large,4101
"10,183",23,100,5372.57,11/13/2003 0:00,Shipped,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,USA,Cervantes,Francisca,Medium,71270
"10,194",42,100,7290.36,11/25/2003 0:00,Shipped,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,France,Saveley,Mary,Large,69004
"10,206",47,100,9064.89,12/5/2003 0:00,Shipped,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Large,V3F 2K1
"10,215",35,100,6075.3,1/29/2004 0:00,Shipped,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,USA,Thompson,Steve,Medium,94019
"10,228",29,100,6463.23,3/10/2004 0:00,Shipped,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,USA,Tseng,Kyung,Medium,51247
"10,245",34,100,6120.34,5/4/2004 0:00,Shipped,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,USA,Murphy,Leslie,Medium,97823
"10,258",32,100,7680.64,6/15/2004 0:00,Shipped,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Large,106-0032
"10,270",21,100,4905.39,7/19/2004 0:00,Shipped,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium,2067
"10,280",34,100,8014.82,8/17/2004 0:00,Shipped,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Large,10100
"10,291",37,100,7136.19,9/8/2004 0:00,Shipped,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,Sweden,Larsson,Maria,Large,S-844 67
"10,304",47,100,10172.7,10/11/2004 0:00,Shipped,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,France,Tonini,Daniel,Large,78000
"10,312",48,100,11623.7,10/21/2004 0:00,Shipped,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Large,97562
"10,322",40,100,6000.4,11/4/2004 0:00,Shipped,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,62005
"10,333",26,100,3003,11/18/2004 0:00,Shipped,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,USA,Murphy,Julie,Medium,
"10,347",30,100,3944.7,11/29/2004 0:00,Shipped,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,3004
"10,357",32,100,5691.84,12/10/2004 0:00,Shipped,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,97562
"10,369",41,100,4514.92,1/20/2005 0:00,Shipped,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,USA,Nelson,Allen,Medium,58339
"10,381",36,100,8254.8,2/17/2005 0:00,Shipped,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,USA,Brown,Julie,Large,
"10,391",24,100,2416.56,3/9/2005 0:00,Shipped,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,Australia,O'Hara,Anna,Small,2060
"10,411",23,100,4140.23,5/1/2005 0:00,Shipped,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Medium,H1J 1C3
"10,424",50,100,12001,5/31/2005 0:00,In Process,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,28034
"10,107",39,99.91,3896.49,2/24/2003 0:00,Shipped,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,10022
"10,120",29,96.34,2793.86,4/29/2003 0:00,Shipped,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,3004
